Province ,Farm_Area_Size,NAICS,Description,Gross_Farm_Receipt_Category,Number_of_Farms
British Columbia,2-10 acres,11211,Dairy cattle and milk production," $50,000 to $99,999",1
British Columbia,2-10 acres,11212,"Beef cattle ranching and farming, including feedlots"," $50,000 to $99,999",2
British Columbia,2-10 acres,11221,Hog and pig farming," $50,000 to $99,999",1
British Columbia,2-10 acres,1123,Poultry and egg production," $50,000 to $99,999",16
British Columbia,2-10 acres,1124,Sheep and goat farming," $50,000 to $99,999",2
British Columbia,2-10 acres,1129,Other animal production," $50,000 to $99,999",55
British Columbia,2-10 acres,1111,Oilseed and grain farming," $50,000 to $99,999",2
British Columbia,2-10 acres,1112,Vegetable and melon farming," $50,000 to $99,999",41
British Columbia,2-10 acres,1113,Fruit and tree nut farming," $50,000 to $99,999",206
British Columbia,2-10 acres,111411,Mushroom production," $50,000 to $99,999",1
British Columbia,2-10 acres,111419,Other food crops grown under cover," $50,000 to $99,999",8
British Columbia,2-10 acres,111421,Nursery and tree production," $50,000 to $99,999",25
British Columbia,2-10 acres,111422,Floriculture production," $50,000 to $99,999",17
British Columbia,2-10 acres,1119,Other crop farming," $50,000 to $99,999",8
British Columbia,11 acres and over,11,All," $50,000 to $99,999","1,148"
British Columbia,11 acres and over,11211,Dairy cattle and milk production," $50,000 to $99,999",6
British Columbia,11 acres and over,11212,"Beef cattle ranching and farming, including feedlots"," $50,000 to $99,999",330
British Columbia,11 acres and over,11221,Hog and pig farming," $50,000 to $99,999",0
British Columbia,11 acres and over,1123,Poultry and egg production," $50,000 to $99,999",10
British Columbia,11 acres and over,1124,Sheep and goat farming," $50,000 to $99,999",16
British Columbia,11 acres and over,1129,Other animal production," $50,000 to $99,999",171
British Columbia,11 acres and over,1111,Oilseed and grain farming," $50,000 to $99,999",38
British Columbia,11 acres and over,1112,Vegetable and melon farming," $50,000 to $99,999",37
British Columbia,11 acres and over,1113,Fruit and tree nut farming," $50,000 to $99,999",240
British Columbia,11 acres and over,111411,Mushroom production," $50,000 to $99,999",1
British Columbia,11 acres and over,111419,Other food crops grown under cover," $50,000 to $99,999",8
British Columbia,11 acres and over,111421,Nursery and tree production," $50,000 to $99,999",33
British Columbia,11 acres and over,111422,Floriculture production," $50,000 to $99,999",9
British Columbia,11 acres and over,1119,Other crop farming," $50,000 to $99,999",249
British Columbia,All,11,All," $100,000 to $249,999 ","1,594"
British Columbia,All,11211,Dairy cattle and milk production," $100,000 to $249,999 ",33
British Columbia,All,11212,"Beef cattle ranching and farming, including feedlots"," $100,000 to $249,999",364
British Columbia,All,11221,Hog and pig farming," $100,000 to $249,999",2
British Columbia,All,1123,Poultry and egg production," $100,000 to $249,999",40
British Columbia,All,1124,Sheep and goat farming," $100,000 to $249,999",11
British Columbia,All,1129,Other animal production," $100,000 to $249,999",182
British Columbia,All,1111,Oilseed and grain farming," $100,000 to $249,999",50
British Columbia,All,1112,Vegetable and melon farming," $100,000 to $249,999",94
British Columbia,All,1113,Fruit and tree nut farming," $100,000 to $249,999",481
British Columbia,All,111411,Mushroom production," $100,000 to $249,999",5
British Columbia,All,111419,Other food crops grown under cover," $100,000 to $249,999",22
British Columbia,All,111421,Nursery and tree production," $100,000 to $249,999",72
British Columbia,All,111422,Floriculture production," $100,000 to $249,999",46
British Columbia,All,1119,Other crop farming," $100,000 to $249,999",192
British Columbia,1 acre,11,All," $100,000 to $249,999",21
British Columbia,1 acre,11211,Dairy cattle and milk production," $100,000 to $249,999",0
British Columbia,1 acre,11212,"Beef cattle ranching and farming, including feedlots"," $100,000 to $249,999",0
British Columbia,1 acre,11221,Hog and pig farming," $100,000 to $249,999",0
British Columbia,1 acre,1123,Poultry and egg production," $100,000 to $249,999",2
British Columbia,1 acre,1124,Sheep and goat farming," $100,000 to $249,999",0
British Columbia,1 acre,1129,Other animal production," $100,000 to $249,999",10
British Columbia,1 acre,1111,Oilseed and grain farming," $100,000 to $249,999",0
British Columbia,1 acre,1112,Vegetable and melon farming," $100,000 to $249,999",0
British Columbia,1 acre,1113,Fruit and tree nut farming," $100,000 to $249,999",2
British Columbia,1 acre,111411,Mushroom production," $100,000 to $249,999",1
British Columbia,1 acre,111419,Other food crops grown under cover," $100,000 to $249,999",3
British Columbia,1 acre,111421,Nursery and tree production," $100,000 to $249,999",0
British Columbia,1 acre,111422,Floriculture production," $100,000 to $249,999",3
British Columbia,1 acre,1119,Other crop farming," $100,000 to $249,999",0
British Columbia,2-10 acres,11,All," $100,000 to $249,999",262
British Columbia,2-10 acres,11211,Dairy cattle and milk production," $100,000 to $249,999",7
British Columbia,2-10 acres,11212,"Beef cattle ranching and farming, including feedlots"," $100,000 to $249,999",3
British Columbia,2-10 acres,11221,Hog and pig farming," $100,000 to $249,999",0
British Columbia,2-10 acres,1123,Poultry and egg production," $100,000 to $249,999",23
British Columbia,2-10 acres,1124,Sheep and goat farming," $100,000 to $249,999",1
British Columbia,2-10 acres,1129,Other animal production," $100,000 to $249,999",40
British Columbia,2-10 acres,1111,Oilseed and grain farming," $100,000 to $249,999",1
British Columbia,2-10 acres,1112,Vegetable and melon farming," $100,000 to $249,999",30
British Columbia,2-10 acres,1113,Fruit and tree nut farming," $100,000 to $249,999",75
British Columbia,2-10 acres,111411,Mushroom production," $100,000 to $249,999",4
British Columbia,2-10 acres,111419,Other food crops grown under cover," $100,000 to $249,999",14
British Columbia,2-10 acres,111421,Nursery and tree production," $100,000 to $249,999",25
British Columbia,2-10 acres,111422,Floriculture production," $100,000 to $249,999",29
British Columbia,2-10 acres,1119,Other crop farming," $100,000 to $249,999",10
British Columbia,11 acres and over,11,All," $100,000 to $249,999","1,311"
British Columbia,11 acres and over,11211,Dairy cattle and milk production," $100,000 to $249,999",26
British Columbia,11 acres and over,11212,"Beef cattle ranching and farming, including feedlots"," $100,000 to $249,999",361
British Columbia,11 acres and over,11221,Hog and pig farming," $100,000 to $249,999",2
British Columbia,11 acres and over,1123,Poultry and egg production," $100,000 to $249,999",15
British Columbia,11 acres and over,1124,Sheep and goat farming," $100,000 to $249,999",10
British Columbia,11 acres and over,1129,Other animal production," $100,000 to $249,999",132
British Columbia,11 acres and over,1111,Oilseed and grain farming," $100,000 to $249,999",49
British Columbia,11 acres and over,1112,Vegetable and melon farming," $100,000 to $249,999",64
British Columbia,11 acres and over,1113,Fruit and tree nut farming," $100,000 to $249,999",404
British Columbia,11 acres and over,111411,Mushroom production," $100,000 to $249,999",0
British Columbia,11 acres and over,111419,Other food crops grown under cover," $100,000 to $249,999",5
British Columbia,11 acres and over,111421,Nursery and tree production," $100,000 to $249,999",47
British Columbia,11 acres and over,111422,Floriculture production," $100,000 to $249,999",14
British Columbia,11 acres and over,1119,Other crop farming," $100,000 to $249,999",182
British Columbia,All,11,All,"$250,000 to $499,999 ",884
British Columbia,All,11211,Dairy cattle and milk production,"$250,000 to $499,999 ",63
British Columbia,All,11212,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",182
British Columbia,All,11221,Hog and pig farming,"$250,000 to $499,999",2
British Columbia,All,1123,Poultry and egg production,"$250,000 to $499,999",90
British Columbia,All,1124,Sheep and goat farming,"$250,000 to $499,999",1
British Columbia,All,1129,Other animal production,"$250,000 to $499,999",47
British Columbia,All,1111,Oilseed and grain farming,"$250,000 to $499,999",27
British Columbia,All,1112,Vegetable and melon farming,"$250,000 to $499,999",43
British Columbia,All,1113,Fruit and tree nut farming,"$250,000 to $499,999",251
British Columbia,All,111411,Mushroom production,"$250,000 to $499,999",3
British Columbia,All,111419,Other food crops grown under cover,"$250,000 to $499,999",11
British Columbia,All,111421,Nursery and tree production,"$250,000 to $499,999",56
British Columbia,All,111422,Floriculture production,"$250,000 to $499,999",36
British Columbia,All,1119,Other crop farming,"$250,000 to $499,999",72
British Columbia,1 acre,11,All,"$250,000 to $499,999",13
British Columbia,1 acre,11211,Dairy cattle and milk production,"$250,000 to $499,999",1
British Columbia,1 acre,11212,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",0
British Columbia,1 acre,11221,Hog and pig farming,"$250,000 to $499,999",0
British Columbia,1 acre,1123,Poultry and egg production,"$250,000 to $499,999",3
British Columbia,1 acre,1124,Sheep and goat farming,"$250,000 to $499,999",0
British Columbia,1 acre,1129,Other animal production,"$250,000 to $499,999",5
British Columbia,1 acre,1111,Oilseed and grain farming,"$250,000 to $499,999",0
British Columbia,1 acre,1112,Vegetable and melon farming,"$250,000 to $499,999",0
British Columbia,1 acre,1113,Fruit and tree nut farming,"$250,000 to $499,999",0
British Columbia,1 acre,111411,Mushroom production,"$250,000 to $499,999",0
British Columbia,1 acre,111419,Other food crops grown under cover,"$250,000 to $499,999",1
British Columbia,1 acre,111421,Nursery and tree production,"$250,000 to $499,999",2
British Columbia,1 acre,111422,Floriculture production,"$250,000 to $499,999",1
British Columbia,1 acre,1119,Other crop farming,"$250,000 to $499,999",0
British Columbia,2-10 acres,11,All,"$250,000 to $499,999",152
British Columbia,2-10 acres,11211,Dairy cattle and milk production,"$250,000 to $499,999",1
British Columbia,2-10 acres,11212,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",1
British Columbia,2-10 acres,11221,Hog and pig farming,"$250,000 to $499,999",1
British Columbia,2-10 acres,1123,Poultry and egg production,"$250,000 to $499,999",56
British Columbia,2-10 acres,1124,Sheep and goat farming,"$250,000 to $499,999",0
British Columbia,2-10 acres,1129,Other animal production,"$250,000 to $499,999",17
British Columbia,2-10 acres,1111,Oilseed and grain farming,"$250,000 to $499,999",0
British Columbia,2-10 acres,1112,Vegetable and melon farming,"$250,000 to $499,999",4
British Columbia,2-10 acres,1113,Fruit and tree nut farming,"$250,000 to $499,999",16
British Columbia,2-10 acres,111411,Mushroom production,"$250,000 to $499,999",1
British Columbia,2-10 acres,111419,Other food crops grown under cover,"$250,000 to $499,999",6
British Columbia,2-10 acres,111421,Nursery and tree production,"$250,000 to $499,999",22
British Columbia,2-10 acres,111422,Floriculture production,"$250,000 to $499,999",23
British Columbia,2-10 acres,1119,Other crop farming,"$250,000 to $499,999",4
British Columbia,11 acres and over,11,All,"$250,000 to $499,999",719
British Columbia,11 acres and over,11211,Dairy cattle and milk production,"$250,000 to $499,999",61
British Columbia,11 acres and over,11212,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",181
British Columbia,11 acres and over,11221,Hog and pig farming,"$250,000 to $499,999",1
British Columbia,11 acres and over,1123,Poultry and egg production,"$250,000 to $499,999",31
British Columbia,11 acres and over,1124,Sheep and goat farming,"$250,000 to $499,999",1
British Columbia,11 acres and over,1129,Other animal production,"$250,000 to $499,999",25
British Columbia,11 acres and over,1111,Oilseed and grain farming,"$250,000 to $499,999",27
British Columbia,11 acres and over,1112,Vegetable and melon farming,"$250,000 to $499,999",39
British Columbia,11 acres and over,1113,Fruit and tree nut farming,"$250,000 to $499,999",235
British Columbia,11 acres and over,111411,Mushroom production,"$250,000 to $499,999",2
British Columbia,11 acres and over,111419,Other food crops grown under cover,"$250,000 to $499,999",4
British Columbia,11 acres and over,111421,Nursery and tree production,"$250,000 to $499,999",32
British Columbia,11 acres and over,111422,Floriculture production,"$250,000 to $499,999",12
British Columbia,11 acres and over,1119,Other crop farming,"$250,000 to $499,999",68
British Columbia,All,11,All," $500,000 and over","1,490"
British Columbia,All,11211,Dairy cattle and milk production," $500,000 and over",358
British Columbia,All,11212,"Beef cattle ranching and farming, including feedlots"," $500,000 and over",108
British Columbia,All,11221,Hog and pig farming," $500,000 and over",14
British Columbia,All,1123,Poultry and egg production," $500,000 and over",380
British Columbia,All,1124,Sheep and goat farming," $500,000 and over",2
British Columbia,All,1129,Other animal production," $500,000 and over",33
British Columbia,All,1111,Oilseed and grain farming," $500,000 and over",54
British Columbia,All,1112,Vegetable and melon farming," $500,000 and over",69
British Columbia,All,1113,Fruit and tree nut farming," $500,000 and over",200
British Columbia,All,111411,Mushroom production," $500,000 and over",18
British Columbia,All,111419,Other food crops grown under cover," $500,000 and over",43
British Columbia,All,111421,Nursery and tree production," $500,000 and over",74
British Columbia,All,111422,Floriculture production," $500,000 and over",82
British Columbia,All,1119,Other crop farming," $500,000 and over",55
British Columbia,1 acre,11,All," $500,000 and over",4
British Columbia,1 acre,11211,Dairy cattle and milk production," $500,000 and over",0
British Columbia,1 acre,11212,"Beef cattle ranching and farming, including feedlots"," $500,000 and over",0
British Columbia,1 acre,11221,Hog and pig farming," $500,000 and over",0
British Columbia,1 acre,1123,Poultry and egg production," $500,000 and over",1
British Columbia,1 acre,1124,Sheep and goat farming," $500,000 and over",0
British Columbia,1 acre,1129,Other animal production," $500,000 and over",1
British Columbia,1 acre,1111,Oilseed and grain farming," $500,000 and over",0
British Columbia,1 acre,1112,Vegetable and melon farming," $500,000 and over",0
British Columbia,1 acre,1113,Fruit and tree nut farming," $500,000 and over",0
British Columbia,1 acre,111411,Mushroom production," $500,000 and over",0
British Columbia,1 acre,111419,Other food crops grown under cover," $500,000 and over",0
British Columbia,1 acre,111421,Nursery and tree production," $500,000 and over",1
British Columbia,1 acre,111422,Floriculture production," $500,000 and over",1
British Columbia,1 acre,1119,Other crop farming," $500,000 and over",0
British Columbia,2-10 acres,11,All," $500,000 and over",264
British Columbia,2-10 acres,11211,Dairy cattle and milk production," $500,000 and over",0
British Columbia,2-10 acres,11212,"Beef cattle ranching and farming, including feedlots"," $500,000 and over",1
British Columbia,2-10 acres,11221,Hog and pig farming," $500,000 and over",4
British Columbia,2-10 acres,1123,Poultry and egg production," $500,000 and over",173
British Columbia,2-10 acres,1124,Sheep and goat farming," $500,000 and over",0
British Columbia,2-10 acres,1129,Other animal production," $500,000 and over",10
British Columbia,2-10 acres,1111,Oilseed and grain farming," $500,000 and over",0
British Columbia,2-10 acres,1112,Vegetable and melon farming," $500,000 and over",4
British Columbia,2-10 acres,1113,Fruit and tree nut farming," $500,000 and over",5
British Columbia,2-10 acres,111411,Mushroom production," $500,000 and over",9
British Columbia,2-10 acres,111419,Other food crops grown under cover," $500,000 and over",5
British Columbia,2-10 acres,111421,Nursery and tree production," $500,000 and over",12
British Columbia,2-10 acres,111422,Floriculture production," $500,000 and over",39
British Columbia,2-10 acres,1119,Other crop farming," $500,000 and over",2
British Columbia,11 acres and over,11,All," $500,000 and over","1,222"
British Columbia,11 acres and over,11211,Dairy cattle and milk production," $500,000 and over",358
British Columbia,11 acres and over,11212,"Beef cattle ranching and farming, including feedlots"," $500,000 and over",107
British Columbia,11 acres and over,11221,Hog and pig farming," $500,000 and over",10
British Columbia,11 acres and over,1123,Poultry and egg production," $500,000 and over",206
British Columbia,11 acres and over,1124,Sheep and goat farming," $500,000 and over",2
British Columbia,11 acres and over,1129,Other animal production," $500,000 and over",22
British Columbia,11 acres and over,1111,Oilseed and grain farming," $500,000 and over",54
British Columbia,11 acres and over,1112,Vegetable and melon farming," $500,000 and over",65
British Columbia,11 acres and over,1113,Fruit and tree nut farming," $500,000 and over",195
British Columbia,11 acres and over,111411,Mushroom production," $500,000 and over",9
British Columbia,11 acres and over,111419,Other food crops grown under cover," $500,000 and over",38
British Columbia,11 acres and over,111421,Nursery and tree production," $500,000 and over",61
British Columbia,11 acres and over,111422,Floriculture production," $500,000 and over",42
British Columbia,11 acres and over,1119,Other crop farming," $500,000 and over",53
